"REG_DATE","daily_visit"
"2021-05-08",1
"2021-05-09",2
"2021-05-10",2
"2021-05-11",5
"2021-05-12",4
"2021-05-14",13
"2021-05-15",8
"2021-05-16",19
"2021-05-17",49
"2021-05-18",45
"2021-05-19",38
"2021-05-20",29
"2021-05-21",27
"2021-05-22",40
"2021-05-23",43
"2021-05-24",46
"2021-05-25",68
"2021-05-26",41
"2021-05-27",33
"2021-05-28",39
"2021-05-29",40
"2021-05-30",64
"2021-05-31",41
"2021-06-01",79
"2021-06-02",58
"2021-06-03",59
"2021-06-04",69
"2021-06-05",68
"2021-06-06",86
"2021-06-07",74
"2021-06-08",80
"2021-06-09",77
"2021-06-10",58
"2021-06-11",73
"2021-06-12",68
"2021-06-13",101
"2021-06-14",111
"2021-06-15",157
"2021-06-16",149
"2021-06-17",168
"2021-06-18",165
"2021-06-19",122
"2021-06-20",153
"2021-06-21",215
"2021-06-22",214
"2021-06-23",203
"2021-06-24",226
"2021-06-25",238
"2021-06-26",186
"2021-06-27",224
"2021-06-28",233
"2021-06-29",226
"2021-06-30",230
"2021-07-01",233
"2021-07-02",199
"2021-07-03",179
"2021-07-04",158
"2021-07-05",212
"2021-07-06",191
"2021-07-07",216
"2021-07-08",202
"2021-07-09",195
"2021-07-10",145
"2021-07-11",156
"2021-07-12",160
"2021-07-13",177
"2021-07-14",179
"2021-07-15",140
"2021-07-16",135
"2021-07-17",112
"2021-07-18",105
"2021-07-19",181
"2021-07-21",192
"2021-07-22",117
"2021-07-23",129
"2021-07-24",110
"2021-07-25",119
"2021-07-26",148
"2021-07-27",131
"2021-07-28",92
"2021-07-29",106
"2021-07-30",114
"2021-07-31",92
"2021-08-01",97
"2021-08-02",120
"2021-08-03",99
"2021-08-04",68
"2021-08-05",67
"2021-08-06",96
"2021-08-07",83
"2021-08-08",73
"2021-08-09",79
"2021-08-10",99
"2021-08-11",64
"2021-08-12",74
"2021-08-13",90
"2021-08-14",81
"2021-08-15",66
"2021-08-16",67
"2021-08-17",67
"2021-08-18",73
"2021-08-19",70
"2021-08-20",76
"2021-08-21",84
"2021-08-22",102
"2021-08-23",94
"2021-08-24",63
"2021-08-25",50
"2021-08-26",75
"2021-08-27",75
"2021-08-28",84
