"tahun_bulan","LIST_TEST","PAY","jumlah_pembelian","income"
"2022-02",PCR SARS CoV-2 - Reguler,275000.0,5172,1422300000
"2022-02",Antigen SARS-CoV-2 ,95000.0,3501,332595000
"2021-06",Antigen SARS-CoV-2 ,179000.0,3008,538432000
"2022-01",Antigen SARS-CoV-2 ,95000.0,2815,267425000
"2021-07",Antigen SARS-CoV-2 ,179000.0,2508,448932000
"2021-11",Antigen SARS-CoV-2 ,95000.0,2438,231610000
"2021-07",PCR SARS CoV-2 - Reguler,799000.0,1830,1462170000
"2021-10",Antigen SARS-CoV-2 ,95000.0,1720,163400000
"2022-03",PCR SARS CoV-2 - Reguler,275000.0,1603,440825000
"2021-12",Antigen SARS Cov-19 Nasal,100000.0,1573,157300000
"2022-03",Antigen SARS-CoV-2 ,95000.0,1517,144115000
"2021-09",Antigen SARS-CoV-2 ,95000.0,1514,143830000
"2022-01",PCR SARS CoV-2 - Reguler,275000.0,1240,341000000
"2022-08",Antigen SARS-CoV-2 ,95000.0,1202,114190000
"2022-08",PCR SARS CoV-2 - Reguler,275000.0,1190,327250000
"2021-12",Antigen SARS-CoV-2 ,95000.0,1126,106970000
"2022-07",Antigen SARS-CoV-2 ,95000.0,1087,103265000
"2021-08",Antigen SARS-CoV-2 ,179000.0,914,163606000
"2022-07",PCR SARS CoV-2 - Reguler,275000.0,887,243925000
"2021-10",PCR SARS CoV-2 - Reguler,495000.0,881,436095000
"2021-06",PCR SARS CoV-2 - Reguler,799000.0,782,624818000
"2021-09",PCR SARS CoV-2 - Reguler,495000.0,776,384120000
"2022-04",Antigen SARS-CoV-2 ,95000.0,712,67640000
"2021-11",PCR SARS CoV-2 - Reguler,275000.0,704,193600000
"2022-05",Antigen SARS-CoV-2 ,95000.0,692,65740000
"2022-11",Antigen SARS-CoV-2 ,95000.0,639,60705000
"2022-11",PCR SARS CoV-2 - Reguler,275000.0,582,160050000
"2021-05",Antigen SARS-CoV-2 ,179000.0,556,99524000
"2022-09",Antigen SARS-CoV-2 ,95000.0,549,52155000
"2021-12",PCR SARS CoV-2 - Reguler,275000.0,545,149875000
"2021-08",PCR SARS CoV-2 - Reguler,799000.0,510,407490000
"2021-08",PCR SARS CoV-2 - Reguler,495000.0,496,245520000
"2022-06",Antigen SARS-CoV-2 ,95000.0,485,46075000
"2022-04",PCR SARS CoV-2 - Reguler,275000.0,474,130350000
"2022-09",PCR SARS CoV-2 - Reguler,275000.0,470,129250000
"2022-05",PCR SARS CoV-2 - Reguler,275000.0,339,93225000
"2022-10",Antigen SARS-CoV-2 ,95000.0,335,31825000
"2022-12",Antigen SARS-CoV-2 ,95000.0,312,29640000
"2022-12",PCR SARS CoV-2 - Reguler,275000.0,285,78375000
"2022-06",PCR SARS CoV-2 - Reguler,275000.0,272,74800000
"2022-10",PCR SARS CoV-2 - Reguler,275000.0,268,73700000
"2021-10",PCR SARS CoV-2 (CITO 1),795000.0,237,188415000
"2022-01",Antigen SARS Cov-19 Nasal,125000.0,225,28125000
"2022-08",Antigen SARS Cov-19 Nasal,125000.0,208,26000000
"2022-02",Antigen SARS Cov-19 Nasal,125000.0,206,25750000
"2021-10",PCR SARS CoV-2 - Reguler,275000.0,205,56375000
"2023-01",Antigen SARS-CoV-2 ,95000.0,198,18810000
"2021-06",Antigen SARS-CoV-2 ,149000.0,195,29055000
"2023-02",Antigen SARS-CoV-2 ,95000.0,181,17195000
"2021-08",PCR SARS CoV-2 (CITO 1),990000.0,128,126720000
"2021-08",Antigen SARS-CoV-2 ,125000.0,125,15625000
"2023-03",Antigen SARS-CoV-2 ,95000.0,122,11590000
"2021-09","PCR SARS CoV-2 - Reguler, Biaya Adm CIto",795000.0,111,88245000
"2021-11",PCR SARS CoV-2 (CITO 1),575000.0,105,60375000
"2022-07",Antigen SARS Cov-19 Nasal,125000.0,102,12750000
