"tahun","bulan","PACKAGE_NAME","LIST_TEST","PAY","jumlah_pembelian"
"2021","05",Umum,Antigen SARS-CoV-2 ,179000.0,556
"2021","05",Umum,PCR SARS CoV-2 - Reguler,799000.0,69
"2021","05",PROMO PELAJAR / MAHASISWA,Antigen SARS-CoV-2 ,149000.0,29
"2021","05",Umum,Antibody IgG & IgM SARS-CoV-2,95000.0,14
"2021","05",Umum,PCR SARS CoV-2 (CITO 1),1199000.0,7
"2021","05",Umum,"Kolesterol Total, Kolesterol HDL, Kolesterol LDL Direk, Trigliserida, Asam Urat, Glukosa Darah Puasa",520000.0,3
"2021","05",Umum,Urine Lengkap ,93000.0,2
"2021","05",Umum,PCR SARS CoV-2,799000.0,2
"2021","05",Umum,"Hematologi Rutin, Antigen SARS-CoV-2 , Urine Lengkap ",397000.0,2
"2021","05",Umum,"Kolesterol Total, Trigliserida",140000.0,2
"2021","05",Umum,"Kolesterol Total, Glukosa Darah Sewaktu",130000.0,1
"2021","05",Umum,"Glukosa Darah Sewaktu, HbA1C",325000.0,1
"2021","05",Umum,"Kolesterol Total, Trigliserida, Asam Urat, Glukosa Darah Sewaktu",270000.0,1
"2021","05",Umum,"Kolesterol Total, Asam Urat",140000.0,1
"2021","05",Umum,"Kolesterol Total, Kolesterol HDL, Kolesterol LDL Direk, Trigliserida",390000.0,1
"2021","05",Umum,Hematologi Lengkap,148000.0,1
"2021","05",Umum,Anti HBs,303000.0,1
"2021","05",Umum,HbA1C,265000.0,1
"2021","05",Umum,"Kolesterol Total, Glukosa Darah Puasa",130000.0,1
"2021","05",Umum,SARS-CoV2 Antibody (Kuantitatif),185000.0,1
"2021","05",Umum,"Hematologi Lengkap, Ureum, Kreatinin",288000.0,1
"2021","06",Umum,Antigen SARS-CoV-2 ,179000.0,3008
"2021","06",Umum,PCR SARS CoV-2 - Reguler,799000.0,782
"2021","06",PROMO PELAJAR / MAHASISWA,Antigen SARS-CoV-2 ,149000.0,195
"2021","06",Umum,PCR SARS CoV-2 (CITO 1),1199000.0,95
"2021","06",Umum,Antibody IgG & IgM SARS-CoV-2,95000.0,42
"2021","06",Umum,SARS-CoV2 Antibody (Kuantitatif),185000.0,7
"2021","06",Umum,"Antigen SARS-CoV-2 , PCR SARS CoV-2 - Reguler",978000.0,4
"2021","06",Umum,Antigen SARS-CoV-2 ,89500.0,3
"2021","06",Umum,Hematologi Lengkap,148000.0,2
"2021","06",Paket MERDEKA Basic,"Kolesterol Total, Kolesterol HDL, Kolesterol LDL, Trigliserida, Asam Urat, Glukosa Darah Puasa",260000.0,2
"2021","06",Paket Merdeka Basic,"Kolesterol Total, Kolesterol HDL, Kolesterol LDL Direk, Trigliserida, Asam Urat, Glukosa Darah Puasa",260000.0,2
"2021","06",Umum,"Antigen SARS-CoV-2 , PCR SARS CoV-2 (CITO 1)",1378000.0,2
"2021","06",Umum,Urine Lengkap ,93000.0,1
"2021","06",Umum,"Hematologi Lengkap, Anti HIV, HBsAg Rapid, TPHA, Urine Lengkap ",1205000.0,1
"2021","06",Umum,"Hematologi Rutin, Glukosa Darah Sewaktu, HBsAg Rapid, Urine Lengkap ",378000.0,1
"2021","06",Umum,HBsAg Rapid,100000.0,1
"2021","06",Umum,"Hematologi Lengkap, Widal",367000.0,1
"2021","06",Umum,"Hematologi Rutin, Widal",344000.0,1
"2021","06",Umum,"Hematologi Rutin, Antibody IgG & IgM SARS-CoV-2",220000.0,1
"2021","06",Umum,"Hematologi Lengkap, Golongan Darah, Glukosa Darah Sewaktu, Anti HIV Rapid I, HBsAg Rapid, TPHA, VDRL",912000.0,1
"2021","06",Umum,"Trigliserida, Glukosa Darah Sewaktu",130000.0,1
"2021","06",Umum,"Kolesterol Total, Kolesterol HDL, Kolesterol LDL Direk",320000.0,1
"2021","06",Umum,"Glukosa Darah Puasa, HbA1C",325000.0,1
"2021","06",Umum,"Kolesterol Total, Glukosa Darah Sewaktu",130000.0,1
"2021","06",Umum,Hematologi Rutin,125000.0,1
"2021","06",Umum,"D-dimer, Glukosa Darah 2 Jam PP",545000.0,1
"2021","06",Umum,"CK - MB, LDH",674000.0,1
