"tanggal","TEST_NAME","jumlah"
"2021-05-10",Antigen SARS-CoV-2 ,2
"2021-05-11",Antigen SARS-CoV-2 ,3
"2021-05-11",Glukosa Darah Sewaktu,1
"2021-05-11",Kolesterol Total,1
"2021-05-12",Antigen SARS-CoV-2 ,3
"2021-05-12",Basofil,1
"2021-05-12",Eosinofil,1
"2021-05-12",Eritrosit,1
"2021-05-12",Hematokrit,1
"2021-05-12",Hemoglobin,1
"2021-05-12",Lekosit,1
"2021-05-12",Limfosit,1
"2021-05-12",MCH,1
"2021-05-12",MCHC,1
"2021-05-12",MCV,1
"2021-05-12",Monosit,1
"2021-05-12",Neutrofil,1
"2021-05-12",RDW,1
"2021-05-12",Trombosit,1
"2021-05-14",Antigen SARS-CoV-2 ,8
"2021-05-15",Antigen SARS-CoV-2 ,7
"2021-05-16",Antigen SARS-CoV-2 ,17
"2021-05-17",Antibody IgG & IgM SARS-CoV-2,1
"2021-05-17",Antigen SARS-CoV-2 ,42
"2021-05-18",Antigen SARS-CoV-2 ,42
"2021-05-18",Hasil,3
"2021-05-19",Antibody IgG & IgM SARS-CoV-2,2
"2021-05-19",Antigen SARS-CoV-2 ,31
"2021-05-19",Hasil,5
"2021-05-20",Antigen SARS-CoV-2 ,27
"2021-05-20",Glukosa Darah Sewaktu,1
"2021-05-20",Hasil,1
"2021-05-20",HbA1C,1
"2021-05-21",Antigen SARS-CoV-2 ,24
"2021-05-21",Hasil,3
"2021-05-22",Antibody IgG & IgM SARS-CoV-2,1
"2021-05-22",Antigen SARS-CoV-2 ,32
"2021-05-22",Asam Urat,1
"2021-05-22",Glukosa Darah Puasa,1
"2021-05-22",Hasil,6
"2021-05-22",Kolesterol HDL,1
"2021-05-22",Kolesterol LDL Direk,1
"2021-05-22",Kolesterol Total,1
"2021-05-22",Trigliserida,1
"2021-05-23",Antigen SARS-CoV-2 ,39
"2021-05-23",Hasil,4
"2021-05-24",Antibody IgG & IgM SARS-CoV-2,2
"2021-05-24",Antigen SARS-CoV-2 ,37
"2021-05-24",Hasil,7
"2021-05-25",Antigen SARS-CoV-2 ,61
"2021-05-25",Hasil,7
"2021-05-26",Antigen SARS-CoV-2 ,35
"2021-05-26",Berat Jenis,1
"2021-05-26",Bilirubin,1
"2021-05-26",Darah Samar,1
"2021-05-26",Epitel,1
"2021-05-26",Eritrosit,1
"2021-05-26",Esterase Lekosit,1
"2021-05-26",Glukosa,1
"2021-05-26",Hasil,2
"2021-05-26",Jamur,1
"2021-05-26",Kejernihan,1
"2021-05-26",Keton,1
"2021-05-26",Kolesterol HDL,1
"2021-05-26",Kolesterol LDL Direk,1
"2021-05-26",Kolesterol Total,3
"2021-05-26",Kristal,1
"2021-05-26",Lekosit,1
"2021-05-26",Nitrit,1
"2021-05-26",pH,1
"2021-05-26",Protein,1
"2021-05-26",Silinder,1
"2021-05-26",Trigliserida,3
"2021-05-26",Urobilinogen,1
"2021-05-26",Warna,1
"2021-05-27",Anti HBs,1
"2021-05-27",Antibody IgG & IgM SARS-CoV-2,1
"2021-05-27",Antigen SARS-CoV-2 ,26
"2021-05-27",Hasil,4
"2021-05-27",HbA1C,1
"2021-05-28",Antibody IgG & IgM SARS-CoV-2,2
"2021-05-28",Antigen SARS-CoV-2 ,33
"2021-05-28",Asam Urat,1
"2021-05-28",Berat Jenis,1
"2021-05-28",Bilirubin,1
"2021-05-28",Darah Samar,1
"2021-05-28",Epitel,1
"2021-05-28",Eritrosit,1
"2021-05-28",Esterase Lekosit,1
"2021-05-28",Glukosa,1
"2021-05-28",Glukosa Darah Sewaktu,1
"2021-05-28",Hasil,2
"2021-05-28",Jamur,1
"2021-05-28",Kejernihan,1
"2021-05-28",Keton,1
"2021-05-28",Kolesterol Total,1
"2021-05-28",Kristal,1
"2021-05-28",Lekosit,1
"2021-05-28",Nitrit,1
"2021-05-28",pH,1
"2021-05-28",Protein,1
"2021-05-28",Silinder,1
"2021-05-28",Trigliserida,1
"2021-05-28",Urobilinogen,1
"2021-05-28",Warna,1
"2021-05-29",Antigen SARS-CoV-2 ,31
"2021-05-29",Basofil,1
"2021-05-29",Eosinofil,1
"2021-05-29",Eritrosit,1
"2021-05-29",Hasil,8
"2021-05-29",Hematokrit,1
"2021-05-29",Hemoglobin,1
"2021-05-29",Laju Endap Darah (LED),1
"2021-05-29",Lekosit,1
"2021-05-29",Limfosit,1
"2021-05-29",MCH,1
"2021-05-29",MCHC,1
"2021-05-29",MCV,1
"2021-05-29",Monosit,1
"2021-05-29",Neutrofil,1
"2021-05-29",RDW,1
"2021-05-29",Trombosit,1
"2021-05-30",Antibody IgG & IgM SARS-CoV-2,4
"2021-05-30",Antigen SARS-CoV-2 ,52
"2021-05-30",Asam Urat,3
"2021-05-30",Glukosa Darah Puasa,2
"2021-05-30",Hasil,5
"2021-05-30",Kolesterol HDL,2
"2021-05-30",Kolesterol LDL Direk,2
"2021-05-30",Kolesterol Total,3
"2021-05-30",Trigliserida,2
"2021-05-31",Antibody IgG & IgM SARS-CoV-2,1
"2021-05-31",Antigen SARS-CoV-2 ,32
"2021-05-31",Basofil,1
"2021-05-31",Eosinofil,1
"2021-05-31",Eritrosit,1
"2021-05-31",Glukosa Darah Puasa,1
"2021-05-31",Hasil,5
"2021-05-31",Hematokrit,1
"2021-05-31",Hemoglobin,1
"2021-05-31",Kolesterol Total,1
"2021-05-31",Kreatinin,1
"2021-05-31",Laju Endap Darah (LED),1
"2021-05-31",Lekosit,1
"2021-05-31",Limfosit,1
"2021-05-31",MCH,1
"2021-05-31",MCHC,1
"2021-05-31",MCV,1
"2021-05-31",Monosit,1
"2021-05-31",Neutrofil,1
"2021-05-31",RDW,1
"2021-05-31",SARS-CoV2 Antibody (Kuantitatif),1
"2021-05-31",Trombosit,1
"2021-05-31",Ureum,1
"2021-06-01",Antibody IgG & IgM SARS-CoV-2,1
"2021-06-01",Antigen SARS-CoV-2 ,68
"2021-06-01",Asam Urat,2
"2021-06-01",Basofil,2
"2021-06-01",Eosinofil,2
"2021-06-01",Eritrosit,2
"2021-06-01",Glukosa Darah Puasa,2
"2021-06-01",Hasil,7
"2021-06-01",Hematokrit,2
